Variant ID,Round ID,Review Cycle,Source Asset ID,Source Video,Source Video Description,Date Posted,Time Posted,Day of Week,Phase,Test Variable,Variant Category,Exact Hook / Variant Wording,Modality,Country,Format Type,Video Length (sec),Predicted Best Performing Hook,Human Prediction Rank,Prediction Confidence,Prediction Rationale,Views 24h,3-Sec Retention % 24h,Avg Watch Time (sec) 24h,Watch % of Length 24h,Saves 24h,Shares 24h,Comments 24h,Follows from Reel 24h,Views 48h,3-Sec Retention % 48h,Avg Watch Time (sec) 48h,Watch % of Length 48h,Saves 48h,Shares 48h,Comments 48h,Follows from Reel 48h,Decision Score 48h,Promoted to Feed (Y/N),Date Promoted,Winner of Round (Y/N),Prediction Correct (Round),Views 7d,3-Sec Retention % 7d,Avg Watch Time (sec) 7d,Watch % of Length 7d,Saves 7d,Shares 7d,Comments 7d,Follows from Reel 7d,7d Distribution Context,Notes / Anomalies
R03V4,R03,Jun 22 – Jul 5,SRC-003,The Cliff Bus Stop,A bus stop perched over a cliff becomes the setup for a short story about trusting local transit.,2026-06-24,1:00 PM,Wednesday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,Google Maps was not prepared for this bus stop,Text overlay + matched opening audio,Madeira,Scenic story / tension,27,N,2,Medium,,142,55.6,9.5,35.2,0,0,0,0,198,56.9,10.1,37.2,2,1,0,1,49.7,N,,N,Y,206,56.7,10.3,38.2,2,1,0,1,Trial-reel distribution only; not promoted,
R03V5,R03,Jun 22 – Jul 5,SRC-003,The Cliff Bus Stop,A bus stop perched over a cliff becomes the setup for a short story about trusting local transit.,2026-06-24,1:00 PM,Wednesday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on the wide reveal of the cliffside stop],Existing visual/audio opening; hook layer removed,Madeira,Scenic story / tension,27,N,3,Medium,,158,55.7,8.9,32.9,1,0,0,0,207,54.3,9.3,34.3,2,1,0,1,47.2,N,,N,Y,222,54.0,9.0,33.5,2,1,0,1,Trial-reel distribution only; not promoted,
R04V1,R04,Jun 22 – Jul 5,SRC-004,Night Market $12 Challenge,A rapid food challenge testing how much dinner two people can assemble on a strict budget.,2026-06-25,10:00 AM,Thursday,Phase 1 — Hook,Hook Type,Credential,Harvard students build a full night-market dinner in Taipei for $12,Text overlay + matched opening audio,Taiwan,Budget challenge,36,N,3,High,,164,45.8,12.0,33.4,0,0,0,0,221,43.9,11.6,32.3,2,1,0,1,39.2,N,,N,Y,262,44.1,12.0,33.5,2,1,0,1,Trial-reel distribution only; not promoted,
R04V2,R04,Jun 22 – Jul 5,SRC-004,Night Market $12 Challenge,A rapid food challenge testing how much dinner two people can assemble on a strict budget.,2026-06-25,10:00 AM,Thursday,Phase 1 — Hook,Hook Type,Numbered / Specific,How much food can $12 actually buy at a Taipei night market?,Text overlay + matched opening audio,Taiwan,Budget challenge,36,N,4,High,,185,48.0,13.7,38.1,1,1,0,0,244,47.6,13.1,36.3,2,2,0,1,42.9,N,,N,Y,271,48.0,12.9,35.9,2,2,0,1,Trial-reel distribution only; not promoted,
R04V3,R04,Jun 22 – Jul 5,SRC-004,Night Market $12 Challenge,A rapid food challenge testing how much dinner two people can assemble on a strict budget.,2026-06-25,10:00 AM,Thursday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: you have $12 and one hour to eat your way through a Taipei night market,Text overlay + matched opening audio,Taiwan,Budget challenge,36,N,2,High,,162,47.5,11.9,33.0,1,0,0,0,222,48.7,12.3,34.2,2,1,0,0,42.6,N,,N,Y,269,48.4,12.2,33.9,2,1,0,0,Trial-reel distribution only; not promoted,
R04V4,R04,Jun 22 – Jul 5,SRC-004,Night Market $12 Challenge,A rapid food challenge testing how much dinner two people can assemble on a strict budget.,2026-06-25,10:00 AM,Thursday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,Do not spend restaurant money on your first night in Taipei,Text overlay + matched opening audio,Taiwan,Budget challenge,36,Y,1,High,Strong fit between the opening idea and the source footage; team would normally publish this treatment without a debate.,192,55.8,14.1,39.0,2,2,0,0,265,54.8,13.5,37.4,3,4,0,0,48.8,Y,2026-06-27,Y,Y,2410,52.7,12.8,35.5,22,25,0,0,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R04V5,R04,Jun 22 – Jul 5,SRC-004,Night Market $12 Challenge,A rapid food challenge testing how much dinner two people can assemble on a strict budget.,2026-06-25,10:00 AM,Thursday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on the cash hitting the table beside the first stall],Existing visual/audio opening; hook layer removed,Taiwan,Budget challenge,36,N,5,High,,142,39.8,11.0,30.7,0,0,0,0,215,40.9,11.0,30.5,0,1,0,1,35.9,N,,N,Y,249,41.1,10.7,29.6,0,1,0,1,Trial-reel distribution only; not promoted,
R05V1,R05,Jun 22 – Jul 5,SRC-005,The Empty Palace Room,A quiet room in a historic palace becomes a curiosity-led explainer about an overlooked detail.,2026-06-26,11:30 AM,Friday,Phase 1 — Hook,Hook Type,Credential,Harvard travelers find the room everyone walks past in Bucharest,Text overlay + matched opening audio,Romania,History / discovery,42,Y,1,High,Strong fit between the opening idea and the source footage; team would normally publish this treatment without a debate.,252,66.7,15.9,38.0,3,3,0,1,414,65.1,16.6,39.6,5,6,0,2,57.0,Y,2026-06-28,Y,Y,1759,58.4,16.2,38.5,16,16,0,6,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R05V2,R05,Jun 22 – Jul 5,SRC-005,The Empty Palace Room,A quiet room in a historic palace becomes a curiosity-led explainer about an overlooked detail.,2026-06-26,11:30 AM,Friday,Phase 1 — Hook,Hook Type,Numbered / Specific,1 room almost everyone skips inside this Bucharest palace,Text overlay + matched opening audio,Romania,History / discovery,42,N,3,High,,256,58.3,14.1,33.6,2,2,0,0,364,57.7,14.4,34.4,4,5,1,1,50.5,N,,N,Y,414,57.7,14.1,33.5,4,5,1,1,Trial-reel distribution only; not promoted,
R05V3,R05,Jun 22 – Jul 5,SRC-005,The Empty Palace Room,A quiet room in a historic palace becomes a curiosity-led explainer about an overlooked detail.,2026-06-26,11:30 AM,Friday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: you walk into the quietest room in the entire palace,Text overlay + matched opening audio,Romania,History / discovery,42,N,2,High,,226,58.7,16.9,40.3,2,1,0,0,371,59.6,16.1,38.3,5,3,0,0,52.0,N,,N,Y,433,59.7,16.1,38.4,5,3,0,0,Trial-reel distribution only; not promoted,
R05V4,R05,Jun 22 – Jul 5,SRC-005,The Empty Palace Room,A quiet room in a historic palace becomes a curiosity-led explainer about an overlooked detail.,2026-06-26,11:30 AM,Friday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,The best room in this palace has almost nothing in it,Text overlay + matched opening audio,Romania,History / discovery,42,N,5,High,,248,52.5,13.1,31.2,2,2,0,0,361,53.4,12.6,30.0,4,5,1,0,46.3,N,,N,Y,419,53.4,12.8,30.5,4,5,1,0,Trial-reel distribution only; not promoted,
R05V5,R05,Jun 22 – Jul 5,SRC-005,The Empty Palace Room,A quiet room in a historic palace becomes a curiosity-led explainer about an overlooked detail.,2026-06-26,11:30 AM,Friday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; begin on the door opening into the empty room],Existing visual/audio opening; hook layer removed,Romania,History / discovery,42,N,4,High,,229,52.1,14.4,34.3,1,1,0,0,371,50.5,13.8,32.8,4,2,1,0,43.9,N,,N,Y,414,51.1,14.2,33.7,4,2,1,0,Trial-reel distribution only; not promoted,
R06V1,R06,Jun 22 – Jul 5,SRC-006,Kayak Through the City,A first-person urban kayak sequence with a quick story arc and skyline payoff.,2026-06-27,1:00 PM,Saturday,Phase 1 — Hook,Hook Type,Credential,Harvard students kayak through the middle of Ljubljana,Text overlay + matched opening audio,Slovenia,Adventure / POV,29,N,3,Medium,,865,54.6,9.7,33.4,10,3,3,1,1248,53.0,10.3,35.5,18,8,4,3,46.9,N,,N,Y,1415,51.9,10.2,35.1,21,9,4,3,Trial-reel distribution only; not promoted,
R06V2,R06,Jun 22 – Jul 5,SRC-006,Kayak Through the City,A first-person urban kayak sequence with a quick story arc and skyline payoff.,2026-06-27,1:00 PM,Saturday,Phase 1 — Hook,Hook Type,Numbered / Specific,We crossed 7 bridges without leaving a kayak,Text overlay + matched opening audio,Slovenia,Adventure / POV,29,N,4,Medium,,735,56.6,10.5,36.2,9,4,3,4,1178,55.8,10.8,37.1,16,7,5,7,49.4,N,,N,Y,1420,55.1,10.5,36.2,19,7,5,8,Trial-reel distribution only; not promoted,
R06V3,R06,Jun 22 – Jul 5,SRC-006,Kayak Through the City,A first-person urban kayak sequence with a quick story arc and skyline payoff.,2026-06-27,1:00 PM,Saturday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: your city tour has no sidewalks,Text overlay + matched opening audio,Slovenia,Adventure / POV,29,Y,1,Medium,"Two treatments felt viable, but this one had the clearest immediate promise and cleanest first-frame fit.",987,64.1,13.6,46.9,9,23,0,3,1482,65.6,13.2,45.4,17,33,1,5,58.4,Y,2026-06-29,Y,Y,14370,59.0,12.8,44.1,139,209,8,32,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R06V4,R06,Jun 22 – Jul 5,SRC-006,Kayak Through the City,A first-person urban kayak sequence with a quick story arc and skyline payoff.,2026-06-27,1:00 PM,Saturday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,The best way to see this capital might be from below street level,Text overlay + matched opening audio,Slovenia,Adventure / POV,29,N,2,Medium,,831,57.7,11.6,40.1,6,4,2,2,1299,57.2,11.8,40.6,11,9,5,6,50.5,N,,N,Y,1455,56.7,11.8,40.7,12,10,5,6,Trial-reel distribution only; not promoted,
R06V5,R06,Jun 22 – Jul 5,SRC-006,Kayak Through the City,A first-person urban kayak sequence with a quick story arc and skyline payoff.,2026-06-27,1:00 PM,Saturday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start with the paddle splash into the lens],Existing visual/audio opening; hook layer removed,Slovenia,Adventure / POV,29,N,5,Medium,,913,50.5,10.1,34.7,8,3,0,3,1199,50.4,10.7,36.8,14,7,2,5,45.1,N,,N,Y,1326,49.4,10.4,35.8,14,7,2,5,Trial-reel distribution only; not promoted,
R07V1,R07,Jun 22 – Jul 5,SRC-007,The Bakery Line Was Worth It,A bakery queue payoff reel comparing hype to the actual first bite.,2026-06-28,10:00 AM,Sunday,Phase 1 — Hook,Hook Type,Credential,Harvard students wait in Copenhagen’s longest bakery line to see if it is worth it,Text overlay + matched opening audio,Denmark,Food / review,22,N,4,Low,,76,44.6,4.0,18.2,0,0,0,0,116,46.1,4.2,19.2,1,1,0,0,38.4,N,,N,N,136,46.9,4.2,19.1,1,1,0,0,Trial-reel distribution only; not promoted,
R07V2,R07,Jun 22 – Jul 5,SRC-007,The Bakery Line Was Worth It,A bakery queue payoff reel comparing hype to the actual first bite.,2026-06-28,10:00 AM,Sunday,Phase 1 — Hook,Hook Type,Numbered / Specific,We waited 52 minutes for one pastry — here is the verdict,Text overlay + matched opening audio,Denmark,Food / review,22,N,5,Low,,95,54.6,5.9,26.6,0,0,0,0,128,54.0,5.5,24.9,0,0,0,0,43.4,Y,2026-06-30,Y,N,1260,47.1,5.0,22.8,0,0,0,0,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R07V3,R07,Jun 22 – Jul 5,SRC-007,The Bakery Line Was Worth It,A bakery queue payoff reel comparing hype to the actual first bite.,2026-06-28,10:00 AM,Sunday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: the bakery line is longer than your flight boarding line,Text overlay + matched opening audio,Denmark,Food / review,22,N,3,Low,,86,45.8,4.1,18.7,0,0,0,0,125,46.9,4.0,18.1,0,0,0,0,37.0,N,,N,N,152,46.1,3.8,17.4,0,0,0,0,Trial-reel distribution only; not promoted,
R07V4,R07,Jun 22 – Jul 5,SRC-007,The Bakery Line Was Worth It,A bakery queue payoff reel comparing hype to the actual first bite.,2026-06-28,10:00 AM,Sunday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,Most famous pastries are not worth an hour. This one might be.,Text overlay + matched opening audio,Denmark,Food / review,22,Y,1,Low,No hook had an obvious edge before posting; this was a preference rather than a conviction call.,88,52.7,4.8,21.9,0,0,0,0,133,52.2,5.2,23.4,0,2,0,0,43.3,N,,N,N,138,52.7,5.4,24.6,0,2,0,0,Trial-reel distribution only; not promoted,
R07V5,R07,Jun 22 – Jul 5,SRC-007,The Bakery Line Was Worth It,A bakery queue payoff reel comparing hype to the actual first bite.,2026-06-28,10:00 AM,Sunday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on the pastry break-apart close-up],Existing visual/audio opening; hook layer removed,Denmark,Food / review,22,N,2,Low,,75,39.7,2.9,13.0,0,0,0,0,104,40.4,2.6,11.7,0,0,0,0,31.2,N,,N,N,110,39.6,2.5,11.5,0,0,0,0,Trial-reel distribution only; not promoted,
R08V1,R08,Jun 22 – Jul 5,SRC-008,Rain Ruined the View,A hiking reel where bad weather hides the expected view but creates a different payoff.,2026-06-29,11:30 AM,Monday,Phase 1 — Hook,Hook Type,Credential,Two Harvard students hike for a view that disappears into Scottish rain,Text overlay + matched opening audio,Scotland,Weather / story,33,N,5,High,,106,46.3,10.6,32.2,0,0,0,0,147,46.0,10.2,30.8,1,0,0,0,39.3,N,,N,Y,173,45.4,10.3,31.1,1,0,0,0,Trial-reel distribution only; not promoted,
R08V2,R08,Jun 22 – Jul 5,SRC-008,Rain Ruined the View,A hiking reel where bad weather hides the expected view but creates a different payoff.,2026-06-29,11:30 AM,Monday,Phase 1 — Hook,Hook Type,Numbered / Specific,4 hours of hiking for exactly zero view,Text overlay + matched opening audio,Scotland,Weather / story,33,N,3,High,,91,48.8,11.0,33.3,0,0,0,0,144,48.5,10.4,31.4,1,0,0,0,41.3,N,,N,Y,152,48.7,10.1,30.7,1,0,0,0,Trial-reel distribution only; not promoted,
R08V3,R08,Jun 22 – Jul 5,SRC-008,Rain Ruined the View,A hiking reel where bad weather hides the expected view but creates a different payoff.,2026-06-29,11:30 AM,Monday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: you reach the summit and the mountain deletes the scenery,Text overlay + matched opening audio,Scotland,Weather / story,33,N,4,High,,108,47.2,10.2,30.9,0,0,0,0,139,45.9,9.5,28.7,1,1,0,0,39.7,N,,N,Y,156,45.0,9.4,28.4,1,1,0,0,Trial-reel distribution only; not promoted,
R08V4,R08,Jun 22 – Jul 5,SRC-008,Rain Ruined the View,A hiking reel where bad weather hides the expected view but creates a different payoff.,2026-06-29,11:30 AM,Monday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,Bad weather can make the better travel story,Text overlay + matched opening audio,Scotland,Weather / story,33,Y,1,High,Strong fit between the opening idea and the source footage; team would normally publish this treatment without a debate.,140,56.4,12.3,37.2,0,1,0,0,184,56.1,12.3,37.1,1,2,0,0,48.7,Y,2026-07-01,Y,Y,1789,49.5,10.8,32.6,6,15,0,0,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R08V5,R08,Jun 22 – Jul 5,SRC-008,Rain Ruined the View,A hiking reel where bad weather hides the expected view but creates a different payoff.,2026-06-29,11:30 AM,Monday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on the summit reveal into complete fog],Existing visual/audio opening; hook layer removed,Scotland,Weather / story,33,N,2,High,,94,44.5,9.4,28.5,0,0,0,0,137,43.8,9.5,28.7,0,1,0,0,37.4,N,,N,Y,149,44.5,9.2,27.9,0,1,0,0,Trial-reel distribution only; not promoted,
R09V1,R09,Jul 6 – Jul 19,SRC-009,Ferry With No Cars,A small passenger ferry becomes a fast explainer on reaching a car-free island.,2026-07-06,10:30 AM,Monday,Phase 1 — Hook,Hook Type,Credential,Harvard students take the tiny ferry to a Croatian island with no cars,Text overlay + matched opening audio,Croatia,Transit / discovery,25,Y,1,High,Strong fit between the opening idea and the source footage; team would normally publish this treatment without a debate.,327,66.4,7.8,31.3,1,6,0,0,490,65.1,8.0,32.1,3,10,1,1,55.5,Y,2026-07-08,Y,Y,4103,59.8,7.6,30.4,19,65,8,5,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R09V2,R09,Jul 6 – Jul 19,SRC-009,Ferry With No Cars,A small passenger ferry becomes a fast explainer on reaching a car-free island.,2026-07-06,10:30 AM,Monday,Phase 1 — Hook,Hook Type,Numbered / Specific,This 18-minute ferry takes you somewhere with zero cars,Text overlay + matched opening audio,Croatia,Transit / discovery,25,N,5,High,,256,52.7,6.0,24.0,3,1,0,0,393,54.6,6.4,25.7,5,3,1,0,46.0,N,,N,Y,453,54.7,6.7,26.9,5,3,1,0,Trial-reel distribution only; not promoted,
R09V3,R09,Jul 6 – Jul 19,SRC-009,Ferry With No Cars,A small passenger ferry becomes a fast explainer on reaching a car-free island.,2026-07-06,10:30 AM,Monday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: your Uber options disappear the second the ferry docks,Text overlay + matched opening audio,Croatia,Transit / discovery,25,N,3,High,,320,58.2,5.7,22.8,1,2,0,0,414,56.9,5.9,23.4,2,3,1,1,46.6,N,,N,Y,485,56.9,5.6,22.2,2,3,1,1,Trial-reel distribution only; not promoted,
R09V4,R09,Jul 6 – Jul 19,SRC-009,Ferry With No Cars,A small passenger ferry becomes a fast explainer on reaching a car-free island.,2026-07-06,10:30 AM,Monday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,The easiest island day trip is the one where cars cannot follow you,Text overlay + matched opening audio,Croatia,Transit / discovery,25,N,4,High,,268,58.3,5.7,22.8,2,4,0,1,413,58.0,6.0,24.0,3,7,0,2,49.0,N,,N,Y,492,58.8,5.9,23.8,3,7,0,2,Trial-reel distribution only; not promoted,
R09V5,R09,Jul 6 – Jul 19,SRC-009,Ferry With No Cars,A small passenger ferry becomes a fast explainer on reaching a car-free island.,2026-07-06,10:30 AM,Monday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; begin on the ferry ramp lifting away from the dock],Existing visual/audio opening; hook layer removed,Croatia,Transit / discovery,25,N,2,High,,279,49.9,5.8,23.1,0,2,0,1,370,51.3,5.3,21.1,1,5,1,2,42.9,N,,N,Y,446,51.4,5.3,21.0,1,6,1,2,Trial-reel distribution only; not promoted,
R10V1,R10,Jul 6 – Jul 19,SRC-010,Soccer in the Square,An impromptu pickup soccer game in a public square becomes a character-led travel moment.,2026-07-07,12:00 PM,Tuesday,Phase 1 — Hook,Hook Type,Credential,Harvard travelers join a pickup game in Mexico City and immediately regret their confidence,Text overlay + matched opening audio,Mexico,Character / culture,34,N,3,Medium,,70,42.3,10.2,29.9,0,0,0,0,100,41.5,10.8,31.6,1,1,0,0,37.6,N,,N,Y,110,41.0,10.8,31.9,1,1,0,0,Trial-reel distribution only; not promoted,
R10V2,R10,Jul 6 – Jul 19,SRC-010,Soccer in the Square,An impromptu pickup soccer game in a public square becomes a character-led travel moment.,2026-07-07,12:00 PM,Tuesday,Phase 1 — Hook,Hook Type,Numbered / Specific,We lasted 6 minutes before the locals humbled us,Text overlay + matched opening audio,Mexico,Character / culture,34,N,5,Medium,,62,40.6,10.5,30.8,0,0,0,0,101,42.4,10.2,30.0,0,0,0,0,35.9,N,,N,Y,117,41.9,9.9,29.2,0,0,0,0,Trial-reel distribution only; not promoted,
