Round ID,Review Cycle,Source Asset ID,Source Video,Country,Format Type,Video Length (sec),Prediction Confidence,Predicted Category,Winner Category,Prediction Correct,Winner 48h Retention,Winner 48h Watch Depth,Winner 48h Views,Winner 7d Views,Date Promoted
R20,Jul 20 – Aug 2,SRC-020,The Wrong Menu Translation,Japan,Humor / food,25,High,Contrarian / Pattern-break,Contrarian / Pattern-break,Y,57.6,27.1,358,2668,2026-07-25
R21,Jul 20 – Aug 2,SRC-021,Elevator to a Hike,Hong Kong,Urban adventure,33,Medium,Credential,Credential,Y,51.0,38.0,365,2462,2026-07-26
R22,Jul 20 – Aug 2,SRC-022,Five-Euro Stadium Seat,Portugal,Sports / value,29,High,POV / Direct-address,POV / Direct-address,Y,65.4,24.8,171,1524,2026-07-27
R23,Jul 20 – Aug 2,SRC-023,The Village Vending Machine,Italy,Oddity / discovery,20,High,Numbered / Specific,Numbered / Specific,Y,62.9,24.2,425,2038,2026-07-28
R24,Jul 20 – Aug 2,SRC-024,Three-Minute Border Crossing,Estonia,Transit / explainer,27,Low,Numbered / Specific,Contrarian / Pattern-break,N,63.0,43.5,476,5161,2026-07-29
R25,Jul 20 – Aug 2,SRC-025,The Rooftop Nobody Advertised,Argentina,Stay / reveal,24,High,Cold Open / Visual-only,Cold Open / Visual-only,Y,53.2,39.8,913,4165,2026-07-30
R26,Aug 3 – Aug 16,SRC-026,Lunch Between Two Waterfalls,Iceland,Scenic / food,28,Medium,Credential,Credential,Y,64.3,32.1,146,1431,2026-08-05
R27,Aug 3 – Aug 16,SRC-027,Lost in the Blue Streets,Tunisia,Navigation / visual,31,High,POV / Direct-address,POV / Direct-address,Y,64.3,39.6,186,1885,2026-08-06
R28,Aug 3 – Aug 16,SRC-028,The 90-Second Boat Ride,Norway,Transit / scenic,18,Medium,Numbered / Specific,Numbered / Specific,Y,65.4,29.5,402,4356,2026-08-07
R29,Aug 3 – Aug 16,SRC-029,The Restaurant With No Sign,Georgia,Food / discovery,34,High,Contrarian / Pattern-break,Contrarian / Pattern-break,Y,57.3,44.9,400,2598,2026-08-08
R30,Aug 3 – Aug 16,SRC-030,The Beach You Reach by Ladder,Malta,Adventure / reveal,26,Medium,POV / Direct-address,Credential,N,56.9,25.7,167,1274,2026-08-09
R31,Aug 3 – Aug 16,SRC-031,Library With a View,South Korea,Quiet / architecture,32,Low,POV / Direct-address,POV / Direct-address,Y,66.0,29.0,1389,15790,2026-08-10
R32,Aug 3 – Aug 16,SRC-032,Bus Driver’s Dinner Stop,Albania,Local moment / food,39,Medium,Cold Open / Visual-only,Cold Open / Visual-only,Y,61.1,40.0,465,3917,2026-08-11
R33,Aug 3 – Aug 16,SRC-033,The Mountain Café Test,Nepal,Food / altitude,30,High,Numbered / Specific,Numbered / Specific,Y,52.2,38.1,335,3164,2026-08-12
R34,Aug 3 – Aug 16,SRC-034,Sunset From the Parking Garage,Australia,Urban scenic / tip,22,High,Contrarian / Pattern-break,Contrarian / Pattern-break,Y,61.0,40.6,314,1335,2026-08-13
R35,Aug 3 – Aug 16,SRC-035,The 4 A.M. Fish Auction,Vietnam,Culture / morning,41,Low,Credential,Credential,Y,48.1,37.5,208,1667,2026-08-13
